Id,Weekly_Sales
1_7_2013-02-15,18140.26915
1_7_2013-02-22,17511.8464
1_7_2013-03-01,19951.5028
1_7_2013-03-08,19938.0978
1_7_2013-03-15,18745.73
1_7_2013-03-22,25229.1302
1_7_2013-03-29,24223.48985
1_7_2013-04-05,22291.30245
1_7_2013-04-12,19988.68385
1_7_2013-04-19,22837.795
1_7_2013-04-26,20625.0238
1_7_2013-05-03,24432.50145
1_7_2013-05-10,21054.392
1_7_2013-05-17,21650.5856
1_7_2013-05-24,26794.5778
1_7_2013-05-31,30127.5043
1_7_2013-06-07,22867.04025
1_7_2013-06-14,24450.53925
1_7_2013-06-21,24593.26285
1_7_2013-06-28,18794.37815
1_7_2013-07-05,24947.70595
1_7_2013-07-12,23423.90215
1_7_2013-07-19,23720.49265
1_7_2013-07-26,21030.25725
1_8_2012-11-02,37819.3549
1_8_2012-11-09,35866.8886
1_8_2012-11-16,34373.18025
1_8_2012-11-23,33370.6163
1_8_2012-11-30,36510.7535
1_8_2012-12-07,38315.3594
1_8_2012-12-14,36816.2018
1_8_2012-12-21,39179.93155
1_8_2012-12-28,33668.76295
1_8_2013-01-04,36153.7655
1_8_2013-01-11,34646.1254
1_8_2013-01-18,36374.7342
1_8_2013-01-25,35054.04815
1_8_2013-02-01,38570.3384
1_8_2013-02-08,39475.30865
1_8_2013-02-15,38892.92985
1_8_2013-02-22,39151.98755
1_8_2013-03-01,36684.3517
1_8_2013-03-08,36655.1305
1_8_2013-03-15,37490.57655
1_8_2013-03-22,39644.9824
1_8_2013-03-29,38265.736
1_8_2013-04-05,37856.94645
1_8_2013-04-12,37451.80055
1_8_2013-04-19,37940.0805
1_8_2013-04-26,37119.54705
1_8_2013-05-03,37917.2816
1_8_2013-05-10,37471.68655
1_8_2013-05-17,38927.6075
1_8_2013-05-24,38689.45905
1_8_2013-05-31,39344.7614
1_8_2013-06-07,38213.36965
1_8_2013-06-14,39086.3535
1_8_2013-06-21,39136.3541
1_8_2013-06-28,37699.4306
1_8_2013-07-05,38544.2651
1_8_2013-07-12,38412.54705
1_8_2013-07-19,38598.984
1_8_2013-07-26,37923.03395
1_9_2012-11-02,25470.17115
1_9_2012-11-09,33721.62635
1_9_2012-11-16,26950.8975
1_9_2012-11-23,40631.9268
1_9_2012-11-30,25357.6393
1_9_2012-12-07,28816.4953
1_9_2012-12-14,26613.08845
1_9_2012-12-21,39753.88445
1_9_2012-12-28,27187.0242
1_9_2013-01-04,22600.21655
1_9_2013-01-11,17307.8871
1_9_2013-01-18,22086.38625
1_9_2013-01-25,16111.4325
1_9_2013-02-01,23615.36115
1_9_2013-02-08,23305.97415
1_9_2013-02-15,23875.07645
1_9_2013-02-22,26771.88825
1_9_2013-03-01,30274.22665
1_9_2013-03-08,28228.3476
1_9_2013-03-15,29930.9414
1_9_2013-03-22,32832.15
1_9_2013-03-29,27983.8576
1_9_2013-04-05,30820.54375
1_9_2013-04-12,31063.61
1_9_2013-04-19,33608.75125
1_9_2013-04-26,28965.97595
1_9_2013-05-03,34000.9618
1_9_2013-05-10,30101.54555
1_9_2013-05-17,31267.41435
1_9_2013-05-24,29543.3982
1_9_2013-05-31,33471.7571
1_9_2013-06-07,29376.7068
1_9_2013-06-14,27783.5932
1_9_2013-06-21,28377.56355
1_9_2013-06-28,25451.03445
1_9_2013-07-05,27398.1522
1_9_2013-07-12,27244.508
1_9_2013-07-19,30078.6223
1_9_2013-07-26,33378.73105
1_10_2012-11-02,30575.8837
1_10_2012-11-09,33029.0261
1_10_2012-11-16,30395.8732
1_10_2012-11-23,30678.52745
1_10_2012-11-30,29696.57335
1_10_2012-12-07,31914.12345
1_10_2012-12-14,29382.9745
1_10_2012-12-21,30588.83135
1_10_2012-12-28,28985.30515
1_10_2013-01-04,28942.5697
1_10_2013-01-11,25088.16905
1_10_2013-01-18,28069.39235
1_10_2013-01-25,24393.9464
1_10_2013-02-01,33433.95415
1_10_2013-02-08,36236.46885
1_10_2013-02-15,38635.1222
1_10_2013-02-22,35604.20235
1_10_2013-03-01,34655.614
1_10_2013-03-08,31057.65675
1_10_2013-03-15,29838.7799
1_10_2013-03-22,34223.73985
1_10_2013-03-29,32931.54395
1_10_2013-04-05,33779.14355
1_10_2013-04-12,29813.1636
1_10_2013-04-19,30431.739
1_10_2013-04-26,28813.3663
1_10_2013-05-03,29248.5936
1_10_2013-05-10,31432.6762
1_10_2013-05-17,34551.78715
1_10_2013-05-24,33757.32115
1_10_2013-05-31,31734.6476
1_10_2013-06-07,30633.88965
1_10_2013-06-14,34595.2462
1_10_2013-06-21,33127.59675
1_10_2013-06-28,31213.57165
1_10_2013-07-05,32664.82145
1_10_2013-07-12,32371.47595
1_10_2013-07-19,30846.0143
1_10_2013-07-26,29502.4793
1_11_2012-11-02,23470.56525
1_11_2012-11-09,24629.6135
1_11_2012-11-16,23292.3749
1_11_2012-11-23,27784.8948
1_11_2012-11-30,30822.11735
1_11_2012-12-07,33027.4818
1_11_2012-12-14,25738.91885
1_11_2012-12-21,28233.3436
1_11_2012-12-28,24990.0989
1_11_2013-01-04,25410.684
1_11_2013-01-11,24712.01905
1_11_2013-01-18,24050.1293
1_11_2013-01-25,19339.86695
1_11_2013-02-01,24530.5111
1_11_2013-02-08,25661.90195
1_11_2013-02-15,25440.8508
1_11_2013-02-22,23746.1606
1_11_2013-03-01,24197.5363
1_11_2013-03-08,24040.8789
1_11_2013-03-15,22678.01845
1_11_2013-03-22,26309.84405
1_11_2013-03-29,25705.24395
1_11_2013-04-05,26274.21435
1_11_2013-04-12,23304.8496
1_11_2013-04-19,25441.3474
1_11_2013-04-26,22870.5599
1_11_2013-05-03,24618.47135
1_11_2013-05-10,25117.11535
1_11_2013-05-17,27008.47425
1_11_2013-05-24,31849.87045
1_11_2013-05-31,29535.6087
1_11_2013-06-07,27373.8199
1_11_2013-06-14,30286.20075
1_11_2013-06-21,31176.418
1_11_2013-06-28,25909.5161
1_11_2013-07-05,31867.77385
1_11_2013-07-12,29074.3786
1_11_2013-07-19,26158.3471
1_11_2013-07-26,22449.1031
1_12_2012-11-02,9717.4622
1_12_2012-11-09,10371.26775
1_12_2012-11-16,9785.2444
1_12_2012-11-23,7892.442
1_12_2012-11-30,8390.02905
1_12_2012-12-07,9311.62205
1_12_2012-12-14,8215.80535
1_12_2012-12-21,9030.46065
1_12_2012-12-28,8143.74565
1_12_2013-01-04,7918.5404
1_12_2013-01-11,8244.30695
1_12_2013-01-18,8847.7407
1_12_2013-01-25,8540.9828
1_12_2013-02-01,9874.17205
1_12_2013-02-08,10277.95955
1_12_2013-02-15,9622.7537
1_12_2013-02-22,10549.61775
1_12_2013-03-01,10682.41335
1_12_2013-03-08,10406.1969
1_12_2013-03-15,10261.66375
1_12_2013-03-22,11035.76115
1_12_2013-03-29,10243.75215
1_12_2013-04-05,10908.78195
1_12_2013-04-12,10497.6384
1_12_2013-04-19,10338.39475
1_12_2013-04-26,9714.04085
1_12_2013-05-03,9825.8268
1_12_2013-05-10,10386.5472
1_12_2013-05-17,10923.73885
1_12_2013-05-24,11530.96825
1_12_2013-05-31,11061.55685
1_12_2013-06-07,11046.474
1_12_2013-06-14,11717.99325
1_12_2013-06-21,11674.4981
1_12_2013-06-28,11116.93605
1_12_2013-07-05,11428.16625
1_12_2013-07-12,11523.8286
1_12_2013-07-19,11428.0174
1_12_2013-07-26,10883.5834
1_13_2012-11-02,39572.53615
1_13_2012-11-09,39310.6171
1_13_2012-11-16,38067.19585
1_13_2012-11-23,38233.2672
1_13_2012-11-30,37482.88735
1_13_2012-12-07,38406.78105
1_13_2012-12-14,34236.24885
1_13_2012-12-21,37790.32885
1_13_2012-12-28,34948.60875
1_13_2013-01-04,39422.3642
1_13_2013-01-11,38342.9043
1_13_2013-01-18,37538.6067
1_13_2013-01-25,35052.6118
1_13_2013-02-01,41402.40385
1_13_2013-02-08,43286.72665
1_13_2013-02-15,42012.6347
1_13_2013-02-22,42136.3595
1_13_2013-03-01,39130.1336
1_13_2013-03-08,38841.40525
1_13_2013-03-15,38911.6558
1_13_2013-03-22,41430.03455
1_13_2013-03-29,40247.27015
1_13_2013-04-05,40189.2025
1_13_2013-04-12,38726.82585
1_13_2013-04-19,39004.7377
1_13_2013-04-26,38244.33595
1_13_2013-05-03,38564.6471
1_13_2013-05-10,39040.3644
1_13_2013-05-17,41744.54385
1_13_2013-05-24,40626.28275
1_13_2013-05-31,39844.52005
1_13_2013-06-07,39748.56475
1_13_2013-06-14,41203.491
1_13_2013-06-21,41201.82755
1_13_2013-06-28,40483.3493
1_13_2013-07-05,39999.45705
1_13_2013-07-12,39681.42395
1_13_2013-07-19,39865.97515
1_13_2013-07-26,39186.71015
1_14_2012-11-02,14808.5147
1_14_2012-11-09,15102.31635
1_14_2012-11-16,16979.7498
1_14_2012-11-23,38452.02815
1_14_2012-11-30,19377.9088
1_14_2012-12-07,19770.20235
1_14_2012-12-14,25162.01695
1_14_2012-12-21,38000.62715
1_14_2012-12-28,24375.57855
1_14_2013-01-04,19363.0639
1_14_2013-01-11,15751.0199
1_14_2013-01-18,17476.07955
1_14_2013-01-25,15205.15765
1_14_2013-02-01,16684.4613
1_14_2013-02-08,16755.80825
1_14_2013-02-15,18808.9509
1_14_2013-02-22,17337.5113
1_14_2013-03-01,16759.09985
1_14_2013-03-08,15436.9977
1_14_2013-03-15,14247.8412
1_14_2013-03-22,15556.36455
1_14_2013-03-29,16334.7277
1_14_2013-04-05,16079.45935
1_14_2013-04-12,13506.87135
1_14_2013-04-19,13725.09725
1_14_2013-04-26,14397.71095
1_14_2013-05-03,14486.07135
1_14_2013-05-10,14390.04115
1_14_2013-05-17,14546.74245
1_14_2013-05-24,15177.5048
1_14_2013-05-31,14509.05595
1_14_2013-06-07,13486.67705
1_14_2013-06-14,14537.9045
1_14_2013-06-21,14504.03
1_14_2013-06-28,12868.43265
1_14_2013-07-05,15319.99715
1_14_2013-07-12,14278.0892
1_14_2013-07-19,14060.82495
1_14_2013-07-26,12767.53445
1_16_2012-11-02,14986.1234
1_16_2012-11-09,12546.67025
1_16_2012-11-16,7936.9152
1_16_2012-11-23,8784.10395
1_16_2012-11-30,10424.70835
1_16_2012-12-07,13100.70285
1_16_2012-12-14,6098.032
1_16_2012-12-21,10092.0517
1_16_2012-12-28,7349.337
1_16_2013-01-04,6781.62325
1_16_2013-01-11,6795.0951
1_16_2013-01-18,7896.11335
1_16_2013-01-25,7184.2042
1_16_2013-02-01,14781.42205
1_16_2013-02-08,17868.79095
1_16_2013-02-15,14709.79045
1_16_2013-02-22,20787.29105
1_16_2013-03-01,24974.2029
1_16_2013-03-08,22579.3121
1_16_2013-03-15,20937.50235
1_16_2013-03-22,29539.80515
1_16_2013-03-29,21378.579
1_16_2013-04-05,25992.63765
1_16_2013-04-12,23386.95125
1_16_2013-04-19,23248.5531
1_16_2013-04-26,14959.44905
1_16_2013-05-03,19018.97785
1_16_2013-05-10,23113.2445
1_16_2013-05-17,27634.16875
1_16_2013-05-24,35683.13845
1_16_2013-05-31,31126.1684
1_16_2013-06-07,27502.8322
1_16_2013-06-14,32057.3518
1_16_2013-06-21,33626.70195
1_16_2013-06-28,23593.4079
1_16_2013-07-05,31153.70375
1_16_2013-07-12,30332.63805
1_16_2013-07-19,30121.9156
1_16_2013-07-26,21612.0002
1_17_2012-11-02,8488.0767
1_17_2012-11-09,7862.94965
1_17_2012-11-16,9398.25215
1_17_2012-11-23,12106.37515
1_17_2012-11-30,9490.59885
1_17_2012-12-07,9407.78755
1_17_2012-12-14,10744.75635
1_17_2012-12-21,15332.3035
1_17_2012-12-28,10598.88675
1_17_2013-01-04,9406.82435
1_17_2013-01-11,9227.2644
1_17_2013-01-18,9295.74575
1_17_2013-01-25,7589.2026
1_17_2013-02-01,8414.11435
1_17_2013-02-08,9529.2926
1_17_2013-02-15,10881.392
1_17_2013-02-22,9735.38355
1_17_2013-03-01,10048.24795
1_17_2013-03-08,9414.846
1_17_2013-03-15,8651.2281
1_17_2013-03-22,8578.27225
1_17_2013-03-29,9461.0149
1_17_2013-04-05,9088.04725
1_17_2013-04-12,8203.18885
1_17_2013-04-19,7881.66965
1_17_2013-04-26,8327.74095
1_17_2013-05-03,7905.95695
1_17_2013-05-10,8582.2993
1_17_2013-05-17,8479.91915
1_17_2013-05-24,7716.0245
1_17_2013-05-31,7679.4082
1_17_2013-06-07,8020.57745
1_17_2013-06-14,7967.18405
1_17_2013-06-21,8006.9415
1_17_2013-06-28,8262.29315
1_17_2013-07-05,7922.86395
1_17_2013-07-12,7773.76775
1_17_2013-07-19,8064.18395
1_17_2013-07-26,7824.62795
1_18_2012-11-02,6513.1062
1_18_2012-11-09,7583.7607
1_18_2012-11-16,11863.4188
1_18_2012-11-23,29784.20125
1_18_2012-11-30,31609.53105
1_18_2012-12-07,25715.07765
1_18_2012-12-14,24981.24455
1_18_2012-12-21,16988.0646
1_18_2012-12-28,19068.3282
1_18_2013-01-04,13822.6653
1_18_2013-01-11,5173.6635
1_18_2013-01-18,12068.6058
1_18_2013-01-25,5866.01325
1_18_2013-02-01,7766.1139
1_18_2013-02-08,7447.9755
1_18_2013-02-15,17296.15275
1_18_2013-02-22,5109.7219
1_18_2013-03-01,5442.06665
1_18_2013-03-08,5231.332
1_18_2013-03-15,5079.6171
1_18_2013-03-22,5409.891
1_18_2013-03-29,7430.03055
1_18_2013-04-05,5519.0177
1_18_2013-04-12,6204.092
1_18_2013-04-19,7120.11565
1_18_2013-04-26,6928.64655
1_18_2013-05-03,9421.7148
1_18_2013-05-10,5767.86955
1_18_2013-05-17,3828.2002
1_18_2013-05-24,4134.8759
1_18_2013-06-07,3748.26555
1_18_2013-07-05,5608.21595
1_19_2012-11-02,980.3562
1_19_2012-11-09,1009.7552
1_19_2012-11-16,863.29005
1_19_2012-11-23,880.42415
1_19_2012-11-30,1157.1623
1_19_2012-12-07,1485.1953
1_19_2012-12-14,1182.67245
1_19_2012-12-21,1706.95195
1_19_2012-12-28,920.62185
1_19_2013-01-04,715.70535
1_19_2013-01-11,766.4594
1_19_2013-01-18,945.9968
1_19_2013-01-25,755.8619
1_19_2013-02-01,1055.77885
1_19_2013-02-08,1025.77645
1_19_2013-02-15,885.39895
1_19_2013-02-22,989.4417
1_19_2013-03-01,1211.84595
1_19_2013-03-08,1195.8762
1_19_2013-03-15,1215.8597
1_19_2013-03-22,1089.95315
1_19_2013-03-29,1129.49915
1_19_2013-04-05,1101.49375
1_19_2013-04-12,1205.27675
1_19_2013-04-19,1245.81655
1_19_2013-04-26,1098.5328
1_19_2013-05-03,1265.41025
1_19_2013-05-10,1156.64745
1_19_2013-05-17,1121.97345
1_19_2013-05-24,1152.8143
1_19_2013-05-31,1293.8696
1_19_2013-06-07,1151.2722
1_19_2013-06-14,1052.3022
1_19_2013-06-21,1119.81715
1_19_2013-06-28,1086.43015
1_19_2013-07-05,1043.63245
1_19_2013-07-12,1050.142
1_19_2013-07-19,1184.91665
1_19_2013-07-26,1216.31175
1_20_2012-11-02,4282.1802
1_20_2012-11-09,3582.9004
1_20_2012-11-16,3136.46025
1_20_2012-11-23,5293.32615
1_20_2012-11-30,3801.77675
1_20_2012-12-07,3432.31505
1_20_2012-12-14,3774.79685
1_20_2012-12-21,5124.98975
1_20_2012-12-28,4160.90735
1_20_2013-01-04,3477.08525
1_20_2013-01-11,4284.04265
1_20_2013-01-18,4013.255
1_20_2013-01-25,3528.96795
1_20_2013-02-01,4307.0961
1_20_2013-02-08,5610.87725
1_20_2013-02-15,5283.41945
1_20_2013-02-22,4827.9697
1_20_2013-03-01,5425.9329
1_20_2013-03-08,4550.8534
1_20_2013-03-15,4249.23035
1_20_2013-03-22,4598.7796
1_20_2013-03-29,4583.31005
1_20_2013-04-05,4818.97035
1_20_2013-04-12,4102.9606
1_20_2013-04-19,3937.70245
1_20_2013-04-26,3799.5517
1_20_2013-05-03,3608.43465
1_20_2013-05-10,4291.1162
1_20_2013-05-17,4771.02325
1_20_2013-05-24,4489.95355
1_20_2013-05-31,4072.30425
1_20_2013-06-07,4122.10365
1_20_2013-06-14,4590.30025
1_20_2013-06-21,4469.76705
1_20_2013-06-28,4215.01845
1_20_2013-07-05,4255.03865
1_20_2013-07-12,4350.6468
1_20_2013-07-19,4253.2262
1_20_2013-07-26,3705.66205
1_21_2012-11-02,7736.11635
1_21_2012-11-09,8384.39285
1_21_2012-11-16,7949.95735
1_21_2012-11-23,10028.4029
1_21_2012-11-30,8022.75925
1_21_2012-12-07,8721.8553
1_21_2012-12-14,10052.34475
1_21_2012-12-21,11640.69465
1_21_2012-12-28,7926.8199
1_21_2013-01-04,7694.6208
1_21_2013-01-11,7314.8452
1_21_2013-01-18,7888.56925
1_21_2013-01-25,7199.03225
1_21_2013-02-01,8204.89935
1_21_2013-02-08,8335.91685
1_21_2013-02-15,8668.18625
1_21_2013-02-22,8330.4205
1_21_2013-03-01,7964.382
1_21_2013-03-08,7733.9355
1_21_2013-03-15,7595.81525
1_21_2013-03-22,8011.73705
1_21_2013-03-29,8031.07195
1_21_2013-04-05,7873.7062
1_21_2013-04-12,7503.3802
1_21_2013-04-19,7678.4141
1_21_2013-04-26,7540.6438
1_21_2013-05-03,7720.01105
1_21_2013-05-10,7670.58585
1_21_2013-05-17,7764.84835
1_21_2013-05-24,7031.8098
1_21_2013-05-31,7242.9688
1_21_2013-06-07,7203.472
1_21_2013-06-14,7071.3337
1_21_2013-06-21,6962.21015
1_21_2013-06-28,6744.41465
1_21_2013-07-05,6979.51675
1_21_2013-07-12,6947.1109
1_21_2013-07-19,7116.8187
1_21_2013-07-26,7051.2244
1_22_2012-11-02,7706.7689
1_22_2012-11-09,7298.4214
1_22_2012-11-16,7647.5742
1_22_2012-11-23,19866.1818
1_22_2012-11-30,7989.70535
1_22_2012-12-07,8405.53445
1_22_2012-12-14,9085.94875
1_22_2012-12-21,13877.60295
1_22_2012-12-28,10424.5127
1_22_2013-01-04,9493.8403
1_22_2013-01-11,8579.98645
1_22_2013-01-18,8432.1112
1_22_2013-01-25,6077.5988
1_22_2013-02-01,8969.9979
1_22_2013-02-08,10595.39315
1_22_2013-02-15,10143.47325
1_22_2013-02-22,9379.0702
1_22_2013-03-01,9418.47095
1_22_2013-03-08,8633.07805
1_22_2013-03-15,8144.6625
1_22_2013-03-22,8076.2347
1_22_2013-03-29,8637.372
1_22_2013-04-05,8555.37885
1_22_2013-04-12,7654.14275
1_22_2013-04-19,7316.1648
1_22_2013-04-26,7656.1297
1_22_2013-05-03,7462.5359
1_22_2013-05-10,7630.88125
1_22_2013-05-17,7593.9222
1_22_2013-05-24,6653.57925
1_22_2013-05-31,6951.91235
1_22_2013-06-07,6931.9193
1_22_2013-06-14,6886.3904
1_22_2013-06-21,6774.1784
1_22_2013-06-28,7165.6994
1_22_2013-07-05,6984.29
1_22_2013-07-12,6653.26365
1_22_2013-07-19,6915.08695
1_22_2013-07-26,7578.9683
1_23_2012-11-02,19254.3284
1_23_2012-11-09,21059.2412
1_23_2012-11-16,20055.7974
1_23_2012-11-23,32002.1263
1_23_2012-11-30,23491.26185
1_23_2012-12-07,28217.78355
1_23_2012-12-14,30033.656
1_23_2012-12-21,42138.3275
1_23_2012-12-28,24406.5151
1_23_2013-01-04,20172.60725
1_23_2013-01-11,16620.1178
1_23_2013-01-18,18806.5362
1_23_2013-01-25,15409.339
